rows=14
columns=14
Horizontal
#,#,#,#,#,#,#,#,#,#,#,#,#,#
16,8,5,3,14,5,9,16,7,9,7,4,2,1
7,4,2,1,18,2,8,3,4,1,6,2,1,3
10,7,3,6,5,1,28,8,6,2,4,5,3,#
25,9,4,6,1,3,16,7,9,3,2,1,#,#
#,7,1,4,2,38,5,9,8,6,1,3,4,2
#,#,10,2,3,4,1,#,4,1,3,3,2,1
#,3,2,1,10,8,2,16,7,9,4,3,1,#
3,2,1,17,8,9,#,29,9,8,7,5,#,#
38,1,3,4,5,2,6,9,8,9,1,2,6,#
#,#,17,8,9,16,9,7,18,3,5,1,4,2
#,38,9,6,7,3,5,8,13,4,9,16,9,7
20,3,8,9,18,2,7,5,3,1,6,3,2,1
10,1,2,7,9,1,8,3,1,2,8,1,3,4
Vertical
#,28,15,4,#,11,17,#,34,12,#,15,6,4
#,8,5,3,#,5,9,27,7,9,#,4,2,1
#,4,2,1,11,2,8,3,4,1,10,2,1,3
#,7,3,15,5,1,#,8,6,2,4,5,3,#
#,9,4,6,1,3,8,7,9,24,2,1,7,3
#,#,1,4,2,23,5,9,8,6,1,3,4,2
#,#,6,2,3,4,1,#,24,1,3,11,2,1
#,3,2,1,29,8,2,#,7,9,20,3,1,#
#,2,1,34,8,9,35,29,9,8,7,5,29,#
#,1,3,4,5,2,6,9,8,10,1,2,6,14
#,#,19,8,9,6,9,7,#,3,5,1,4,2
#,4,9,6,7,3,5,8,4,4,9,4,9,7
#,3,8,9,#,2,7,5,3,1,#,3,2,1
#,1,2,7,#,1,8,#,1,2,#,1,3,4
