rows=12
columns=10
Horizontal
#,#,#,#,#,#,#,#,#,#
#,18,1,8,3,2,4,12,3,9
39,4,5,7,9,8,6,10,2,8
12,1,4,2,#,11,3,5,1,2
#,9,3,6,12,3,1,8,#,#
#,17,2,9,3,1,#,8,6,2
14,5,9,6,1,2,3,11,8,3
9,2,7,#,14,4,7,2,1,#
#,#,9,1,3,5,8,6,2,#
11,3,2,5,1,#,11,7,3,1
17,9,8,37,6,3,7,8,4,9
9,8,1,20,2,1,3,9,5,#
Vertical
#,#,31,32,12,10,21,#,6,19
#,5,1,8,3,2,4,#,3,9
#,4,5,7,9,8,6,13,2,8
#,1,4,2,#,15,3,5,1,2
#,#,3,6,4,3,1,8,29,5
#,7,2,9,3,1,10,#,6,2
#,5,9,#,1,2,3,32,8,3
#,2,7,6,12,4,7,2,1,#
#,20,11,1,3,5,#,6,2,10
#,3,2,5,1,4,10,7,3,1
#,9,8,#,6,3,7,8,4,9
#,8,1,#,2,1,3,9,5,#
